Progreso tensor([11.9886], device='cuda:0') %
Progreso tensor([53.7657], device='cuda:0') %
Progreso tensor([57.2779], device='cuda:0') %
Progreso tensor([105.9553], device='cuda:0') %
Progreso tensor([137.6078], device='cuda:0') %
Progreso tensor([250.9750], device='cuda:0') %
Progreso tensor([143.2911], device='cuda:0') %
Progreso tensor([217.8352], device='cuda:0') %
Progreso tensor([353.1691], device='cuda:0') %
Progreso tensor([609.0917], device='cuda:0') %
Progreso tensor([269.4024], device='cuda:0') %
Progreso tensor([177.4604], device='cuda:0') %
Progreso tensor([515.7171], device='cuda:0') %
Progreso tensor([407.8214], device='cuda:0') %
Progreso tensor([111.7256], device='cuda:0') %
Progreso tensor([202.4460], device='cuda:0') %
Progreso tensor([60.3164], device='cuda:0') %
Progreso tensor([82.5883], device='cuda:0') %
Progreso tensor([187.8475], device='cuda:0') %
Progreso tensor([152.3712], device='cuda:0') %
Progreso tensor([322.0902], device='cuda:0') %
Progreso tensor([30.7382], device='cuda:0') %
Progreso tensor([103.3162], device='cuda:0') %
Progreso tensor([261.9360], device='cuda:0') %
Progreso tensor([163.0136], device='cuda:0') %
Progreso tensor([32.7339], device='cuda:0') %
Progreso tensor([96.0177], device='cuda:0') %
Progreso tensor([225.7386], device='cuda:0') %
Progreso tensor([268.9820], device='cuda:0') %
Progreso tensor([252.1266], device='cuda:0') %
Progreso tensor([258.2570], device='cuda:0') %
Progreso tensor([143.4224], device='cuda:0') %
Progreso tensor([264.9329], device='cuda:0') %
Progreso tensor([218.8566], device='cuda:0') %
Progreso tensor([59.8166], device='cuda:0') %
Progreso tensor([137.5154], device='cuda:0') %
Progreso tensor([181.1253], device='cuda:0') %
Progreso tensor([588.6761], device='cuda:0') %
Progreso tensor([179.6523], device='cuda:0') %
Progreso tensor([383.4877], device='cuda:0') %
Progreso tensor([431.9182], device='cuda:0') %
Progreso tensor([13.9944], device='cuda:0') %
Progreso tensor([40.4279], device='cuda:0') %
Progreso tensor([75.6251], device='cuda:0') %
Progreso tensor([113.4276], device='cuda:0') %
Progreso tensor([129.4760], device='cuda:0') %
Progreso tensor([247.8624], device='cuda:0') %
Progreso tensor([348.1651], device='cuda:0') %
Progreso tensor([333.0325], device='cuda:0') %
Progreso tensor([496.7382], device='cuda:0') %
Progreso tensor([563.9009], device='cuda:0') %
Progreso tensor([329.6652], device='cuda:0') %
Progreso tensor([366.2639], device='cuda:0') %
